Domain,StartTime,StartDay,StartHour,PingOutput
cricbuzz.com,26:37.3,16,7,345
adobe.com,26:37.7,16,7,7
indiatimes.com,26:37.7,16,7,5
naver.com,26:37.8,16,7,Request timed out
india.com,26:41.9,16,7,5
facebook.com,26:41.9,16,7,3
amazon.co.jp,26:41.9,16,7,55
fr.wikipedia.org,26:42.0,16,7,34
amazon.it,26:42.0,16,7,109
mercadolivre.com.br,26:42.1,16,7,4
dictionary.com,26:42.2,16,7,4
espncricinfo.com,26:42.2,16,7,Request timed out
microsoft.com,26:45.9,16,7,Request timed out
globo.com,26:49.8,16,7,146
medlineplus.gov,26:50.2,16,7,4
as.com,26:50.2,16,7,5
cambridge.org,26:50.2,16,7,12
microsoft.com,26:50.2,16,7,Request timed out
bbc.com,26:53.9,16,7,5
investing.com,26:53.9,16,7,12
indiamart.com,26:53.9,16,7,13
es.wikipedia.org,26:53.9,16,7,34
ja.wikipedia.org,26:54.0,16,7,35
cambridge.org,26:54.0,16,7,13
indeed.com,26:54.0,16,7,16
onet.pl,26:54.1,16,7,12
omegle.com,26:54.1,16,7,14
youtube.com,26:54.1,16,7,15
cdc.gov,26:54.2,16,7,Request timed out
indiatimes.com,26:57.9,16,7,4
amazon.co.uk,26:57.9,16,7,109
dailymail.co.uk,26:58.0,16,7,6
britannica.com,26:58.1,16,7,Request timed out
it.wikipedia.org,27:01.9,16,7,35
youtube.com,27:01.9,16,7,14
id.wikipedia.org,27:01.9,16,7,34
instagram.com,27:02.0,16,7,3
britannica.com,27:02.0,16,7,Request timed out
hm.com,27:05.8,16,7,5
flipkart.com,27:05.9,16,7,250
microsoft.com,27:06.2,16,7,Request timed out
nike.com,27:09.9,16,7,4
indeed.com,27:09.9,16,7,14
live.com,27:09.9,16,7,3
craigslist.org,27:09.9,16,7,28
ar.wikipedia.org,27:10.0,16,7,34
collinsdictionary.com,27:10.0,16,7,13
as.com,27:10.0,16,7,4
nih.gov,27:10.1,16,7,Request timed out
linkedin.com,27:13.8,16,7,4
youtube.com,27:13.9,16,7,14
medicalnewstoday.com,27:13.9,16,7,4
collinsdictionary.com,27:13.9,16,7,16
collinsdictionary.com,27:13.9,16,7,13
twitter.com,27:14.0,16,7,88
es.wikipedia.org,27:14.1,16,7,34
ar.wikipedia.org,27:14.1,16,7,35
onet.pl,27:14.2,16,7,3
espn.com,27:14.2,16,7,4
medlineplus.gov,27:14.2,16,7,4
flipkart.com,27:14.2,16,7,239
amazon.in,27:14.5,16,7,113
cricbuzz.com,27:14.6,16,7,253
nike.com,27:14.9,16,7,16
twitter.com,27:15.0,16,7,88
google.com,27:15.1,16,7,15
live.com,27:15.1,16,7,4
brainly.co.id,27:15.1,16,7,15
dailymotion.com,27:15.1,16,7,106
amazon.es,27:15.3,16,7,110
detik.com,27:15.4,16,7,266
espncricinfo.com,27:15.7,16,7,Request timed out
nytimes.com,27:19.4,16,7,7
craigslist.org,27:19.4,16,7,30
omegle.com,27:19.4,16,7,13
adobe.com,27:19.5,16,7,5
amazon.co.uk,27:19.5,16,7,109
as.com,27:19.6,16,7,5
bestbuy.com,27:19.6,16,7,33
bestbuy.com,27:19.7,16,7,33
hurriyet.com.tr,27:19.8,16,7,159
naver.com,27:20.0,16,7,Request timed out
collinsdictionary.com,27:23.8,16,7,13
de.wikipedia.org,27:23.9,16,7,34
twitter.com,27:23.9,16,7,89
ar.wikipedia.org,27:24.0,16,7,36
id.wikipedia.org,27:24.1,16,7,35
espn.com,27:24.1,16,7,4
omegle.com,27:24.1,16,7,13
instagram.com,27:24.2,16,7,3
gsmarena.com,27:24.2,16,7,130
de.wikipedia.org,27:24.3,16,7,35
microsoft.com,27:24.4,16,7,Request timed out
medicalnewstoday.com,27:28.4,16,7,3
globo.com,27:28.4,16,7,142
it.wikipedia.org,27:28.5,16,7,34
live.com,27:28.6,16,7,3
indiamart.com,27:28.6,16,7,14
ebay.co.uk,27:28.6,16,7,Request timed out
milliyet.com.tr,27:32.3,16,7,178
ilovepdf.com,27:32.5,16,7,17
microsoft.com,27:32.7,16,7,Request timed out
apple.com,27:36.4,16,7,4
globo.com,27:36.4,16,7,141
collinsdictionary.com,27:36.5,16,7,14
amazon.in,27:36.6,16,7,112
dailymotion.com,27:36.7,16,7,106
microsoft.com,27:36.8,16,7,Request timed out
medlineplus.gov,27:40.4,16,7,4
espn.com,27:40.4,16,7,3
collinsdictionary.com,27:40.4,16,7,13
espncricinfo.com,27:40.4,16,7,Request timed out
ebay.com,27:44.4,16,7,Request timed out
allegro.pl,27:48.3,16,7,198
hotstar.com,27:48.7,16,7,4
omegle.com,27:48.8,16,7,13
globo.com,27:48.8,16,7,141
